countyname,state,id,nobachdegreerate,unemploymentrate,povertyrate
Yellowstone National Park County,MT,30113,1,0,0
Clifton Forge County,VA,51560,1,0,0
South Boston County,VA,51780,1,0,0
Owsley County,KY,21189,0.954,0.057,0.414
Warren County,GA,13301,0.953,0.057,0.274
Lake County,TN,47095,0.953,0.122,0.425
Greensville County,VA,51081,0.952,0.08,0.245
Echols County,GA,13101,0.949,0.083,0.272
Buffalo County,SD,46017,0.948,0.361,0.436
Morgan County,TN,47129,0.946,0.07,0.186
McDowell County,WV,54047,0.943,0.061,0.408
Dixie County,FL,12029,0.942,0.078,0.237
Charlton County,GA,13049,0.942,0.063,0.258
Heard County,GA,13149,0.941,0.083,0.204
Marion County,GA,13197,0.941,0.111,0.247
Brantley County,GA,13025,0.94,0.079,0.199
Clinton County,KY,21053,0.937,0.09,0.271
Issaquena County,MS,28055,0.937,0.141,0.455
Webster County,WV,54101,0.935,0.084,0.326
Butler County,KY,21031,0.934,0.094,0.201
Karnes County,TX,48255,0.934,0.03,0.258
Baker County,FL,12003,0.933,0.08,0.172
Lafayette County,FL,12067,0.933,0.027,0.246
Glascock County,GA,13125,0.933,0.068,0.185
Murray County,GA,13213,0.933,0.091,0.206
Estill County,KY,21065,0.933,0.1,0.28
Gallatin County,KY,21077,0.933,0.124,0.193
Reeves County,TX,48389,0.933,0.07,0.274
Washington County,MO,29221,0.931,0.133,0.248
Union County,TN,47173,0.931,0.055,0.231
Stone County,AR,5137,0.93,0.061,0.233
Hickory County,MO,29085,0.929,0.087,0.211
Houston County,TN,47083,0.929,0.112,0.212
Atkinson County,GA,13003,0.928,0.085,0.261
Anson County,NC,37007,0.928,0.109,0.241
Perry County,TN,47135,0.928,0.073,0.202
Newton County,TX,48351,0.928,0.087,0.204
Pulaski County,GA,13235,0.927,0.058,0.232
Nicholas County,KY,21181,0.927,0.055,0.191
Reynolds County,MO,29179,0.927,0.088,0.25
Tyrrell County,NC,37177,0.927,0.15,0.289
Hancock County,TN,47067,0.927,0.102,0.324
Taliaferro County,GA,13265,0.926,0.158,0.316
Vinton County,OH,39163,0.926,0.115,0.198
Taylor County,GA,13269,0.925,0.063,0.269
Wilcox County,GA,13315,0.925,0.092,0.302
Martin County,KY,21159,0.925,0.136,0.45
Grainger County,TN,47057,0.925,0.083,0.203
Zavala County,TX,48507,0.925,0.105,0.358
Calhoun County,WV,54013,0.925,0.053,0.234
Telfair County,GA,13271,0.924,0.049,0.337
Webster County,GA,13307,0.924,0.143,0.19
Wheeler County,GA,13309,0.924,0.041,0.408
Clark County,ID,16033,0.924,0.025,0.161
Jennings County,IN,18079,0.924,0.108,0.158
Edmonson County,KY,21061,0.924,0.093,0.208
Hendry County,FL,12051,0.922,0.117,0.226
Bacon County,GA,13005,0.922,0.066,0.223
Grayson County,KY,21085,0.922,0.094,0.21
Greene County,MS,28041,0.922,0.071,0.253
Hardee County,FL,12049,0.921,0.094,0.284
Marlboro County,SC,45069,0.921,0.151,0.311
Wayne County,TN,47181,0.921,0.12,0.23
Wyoming County,WV,54109,0.921,0.044,0.235
Yell County,AR,5149,0.92,0.075,0.186
Chattooga County,GA,13055,0.92,0.095,0.199
Lanier County,GA,13173,0.92,0.061,0.213
Breckinridge County,KY,21027,0.92,0.11,0.208
Wilkinson County,MS,28157,0.92,0.174,0.326
McDonald County,MO,29119,0.92,0.072,0.215
Boone County,WV,54005,0.92,0.065,0.205
Gilchrist County,FL,12041,0.919,0.07,0.18
