year,superbowl,superbowl_rn,quarter,afc_points_scored,afc_total_score,nfc_points_scored,nfc_total_score
1967,1,I,1,0,0,7,7
1967,1,I,2,10,10,7,14
1967,1,I,3,0,10,14,28
1967,1,I,4,0,10,7,35
1968,2,II,1,0,0,3,3
1968,2,II,2,7,7,13,16
1968,2,II,3,0,7,10,26
1968,2,II,4,7,14,7,33
1969,3,III,1,0,0,0,0
1969,3,III,2,7,7,0,0
1969,3,III,3,6,13,0,0
1969,3,III,4,3,16,7,7
1970,4,IV,1,3,3,0,0
1970,4,IV,2,13,16,0,0
1970,4,IV,3,7,23,7,7
1970,4,IV,4,0,23,0,7
1971,5,V,1,0,0,3,3
1971,5,V,2,6,6,10,13
1971,5,V,3,0,6,0,13
1971,5,V,4,10,16,0,13
1972,6,VI,1,0,0,3,3
1972,6,VI,2,3,3,7,10
1972,6,VI,3,0,3,7,17
1972,6,VI,4,0,3,7,24
1973,7,VII,1,7,7,0,0
1973,7,VII,2,7,14,0,0
1973,7,VII,3,0,14,0,0
1973,7,VII,4,0,14,7,7
1974,8,VIII,1,14,14,0,0
1974,8,VIII,2,3,17,0,0
1974,8,VIII,3,7,24,0,0
1974,8,VIII,4,0,24,7,7
1975,9,IX,1,0,0,0,0
1975,9,IX,2,2,2,0,0
1975,9,IX,3,7,9,0,0
1975,9,IX,4,7,16,6,6
1976,10,X,1,7,7,7,7
1976,10,X,2,0,7,3,10
1976,10,X,3,0,7,0,10
1976,10,X,4,14,21,3,13
1977,11,XI,1,0,0,0,0
1977,11,XI,2,16,16,0,0
1977,11,XI,3,3,19,7,7
1977,11,XI,4,13,32,7,14
1978,12,XII,1,0,0,10,10
1978,12,XII,2,0,0,3,13
1978,12,XII,3,10,10,7,20
1978,12,XII,4,0,10,7,27
1979,13,XIII,1,7,7,7,7
1979,13,XIII,2,14,21,7,14
1979,13,XIII,3,0,21,3,17
1979,13,XIII,4,14,35,14,31
1980,14,XIV,1,3,3,7,7
1980,14,XIV,2,7,10,6,13
1980,14,XIV,3,7,17,6,19
1980,14,XIV,4,14,31,0,19
1981,15,XV,1,14,14,0,0
1981,15,XV,2,0,14,3,3
1981,15,XV,3,10,24,0,3
1981,15,XV,4,3,27,7,10
1982,16,XVI,1,0,0,7,7
1982,16,XVI,2,0,0,13,20
1982,16,XVI,3,7,7,0,20
1982,16,XVI,4,14,21,6,26
1983,17,XVII,1,7,7,0,0
1983,17,XVII,2,10,17,10,10
1983,17,XVII,3,0,17,3,13
1983,17,XVII,4,0,17,14,27
1984,18,XVIII,1,7,7,0,0
1984,18,XVIII,2,14,21,3,3
1984,18,XVIII,3,14,35,6,9
1984,18,XVIII,4,3,38,0,9
1985,19,XIX,1,10,10,7,7
1985,19,XIX,2,6,16,21,28
1985,19,XIX,3,0,16,10,38
1985,19,XIX,4,0,16,0,38
1986,20,XX,1,3,3,13,13
1986,20,XX,2,0,3,10,23
1986,20,XX,3,0,3,21,44
1986,20,XX,4,7,10,2,46
1987,21,XXI,1,10,10,7,7
1987,21,XXI,2,0,10,2,9
1987,21,XXI,3,0,10,17,26
1987,21,XXI,4,10,20,13,39
1988,22,XXII,1,10,10,0,0
1988,22,XXII,2,0,10,35,35
1988,22,XXII,3,0,10,0,35
1988,22,XXII,4,0,10,7,42
1989,23,XXIII,1,0,0,3,3
1989,23,XXIII,2,3,3,0,3
1989,23,XXIII,3,10,13,3,6
1989,23,XXIII,4,3,16,14,20
1990,24,XXIV,1,3,3,13,13
1990,24,XXIV,2,0,3,14,27
1990,24,XXIV,3,7,10,14,41
1990,24,XXIV,4,0,10,14,55
